family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,baseline_error_near_tie,2,144,4,4,0,0.02797607563187343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,hard_near_tie,2,1489,4,4,0,0.0025639196229949655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,high_headroom_near_tie,2,70,4,4,0,0.05714285714285714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,large_gap_control,2,1921,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,overall,2,8683,10,4,0,0.0011516760700095966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9652177910569137,-0.0012499227927754157,0.0,-1.0859329223632812,0.0,-0.00011510128913443831,-0.1,0.00011510128913443831,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_near_tie,2,1436,4,4,0,0.0026505738965802864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.1,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,baseline_error_near_tie,2,144,9,4,0,0.06299440478487361,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,hard_near_tie,2,1489,9,4,0,0.005728800784451469,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,high_headroom_near_tie,2,70,9,4,0,0.1285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,large_gap_control,2,1921,3,0,0,0.0015566901904668987,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,overall,2,8683,22,4,0,0.0025336873540211125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9653330249817812,-0.0017704953364416462,0.0,-0.6989480798894708,0.0,-0.00011510128913443831,-0.045454545454545456,0.0002303352140019193,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,stable_near_tie,2,1436,9,4,0,0.005918431743777856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.25,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,baseline_error_near_tie,2,144,13,4,0,0.09116341886938066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,hard_near_tie,2,1489,13,4,0,0.008132646938297624,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,high_headroom_near_tie,2,70,13,4,0,0.18571428571428572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,large_gap_control,2,1921,8,0,0,0.004154606653874923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,overall,2,8683,44,4,0,0.005067374708042225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9653330249817812,-0.0017704953364416462,0.0,-0.3494740399447354,0.0,-0.00011510128913443831,-0.022727272727272728,0.0002303352140019193,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,stable_near_tie,2,1436,13,4,0,0.008387567546246992,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.5,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,baseline_error_near_tie,2,144,13,4,0,0.09116341886938066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,hard_near_tie,2,1489,13,4,0,0.008132646938297624,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,high_headroom_near_tie,2,70,13,4,0,0.18571428571428572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,large_gap_control,2,1921,9,0,0,0.004670070571400696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,overall,2,8683,66,4,0,0.007601062062063337,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9653330249817812,-0.0017704953364416462,0.0,-0.2329826932964903,0.0,-0.00011510128913443831,-0.015151515151515152,0.0002303352140019193,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,stable_near_tie,2,1436,13,4,0,0.008387567546246992,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,0.75,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,baseline_error_near_tie,2,144,14,4,0,0.09820567239050743,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,hard_near_tie,2,1489,15,4,0,0.009494643484369512,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,high_headroom_near_tie,2,70,14,4,0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,large_gap_control,2,1921,13,0,0,0.006731926241503788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,overall,2,8683,88,4,0,0.01013474941608445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9653330249817812,-0.0017704953364416462,0.0,-0.1747370199723677,0.0,-0.00011510128913443831,-0.011363636363636364,0.0002303352140019193,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,stable_near_tie,2,1436,15,4,0,0.009803573541592711,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.0,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,baseline_error_near_tie,2,144,14,4,0,0.09820567239050743,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,hard_near_tie,2,1489,15,4,0,0.009494643484369512,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,high_headroom_near_tie,2,70,14,4,0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,large_gap_control,2,1921,18,0,0,0.009329842704911813,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,overall,2,8683,108,4,0,0.012438234191836685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9653330249817812,-0.0017704953364416462,0.0,-0.14351494332733938,0.0,-0.00011510128913443831,-0.009433962264150943,0.0002303352140019193,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,stable_near_tie,2,1436,15,4,0,0.009803573541592711,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.25,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,baseline_error_near_tie,2,144,15,4,0,0.10505498745900058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,hard_near_tie,2,1489,16,4,0,0.010255678491979862,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,high_headroom_near_tie,2,70,14,4,0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,large_gap_control,2,1921,22,0,0,0.011391698375014907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,overall,2,8683,119,4,0,0.013705807365378976,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9653330249817812,-0.0017704953364416462,0.0,-0.13667020312440675,0.0,-0.00011510128913443831,-0.009433962264150943,0.0002303352140019193,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,stable_near_tie,2,1436,15,4,0,0.009803573541592711,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,baseline_error_near_tie,2,144,16,4,0,0.11190430252749373,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,hard_near_tie,2,1489,17,4,0,0.011016713499590212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,high_headroom_near_tie,2,70,15,4,0,0.2142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,large_gap_control,2,1921,26,0,0,0.013453554045117999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,overall,2,8683,140,4,0,0.016125719787596075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9654482589066486,-0.0021671130772670452,0.0,-0.14819004974663064,0.0,-0.00011510128913443831,-0.009433962264150943,0.00034556913886940024,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,stable_near_tie,2,1436,16,4,0,0.010602295586321146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,baseline_error_near_tie,2,144,17,4,0,0.11875361759598688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,hard_near_tie,2,1489,18,4,0,0.011777748507200562,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,high_headroom_near_tie,2,70,16,4,0,0.22857142857142856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,large_gap_control,2,1921,34,0,0,0.017577265385324184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
