variant,split,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,target_match_rate,base_target_match_rate,compute_target_match_rate,mean_delta_regret,mean_delta_miss
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,overall,4344,0.0011510128913443832,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,hard_near_tie,832,0.003605769230769231,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,baseline_error_near_tie,71,0.014084507042253521,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.1,large_gap_control,951,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,overall,4344,0.0025322283609576428,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,hard_near_tie,832,0.007211538461538462,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,baseline_error_near_tie,71,0.028169014084507043,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.25,large_gap_control,951,0.0,0.0,0.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,overall,4344,0.0050644567219152855,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,hard_near_tie,832,0.013221153846153846,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,high_headroom_near_tie,35,0.05714285714285714,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,baseline_error_near_tie,71,0.056338028169014086,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.5,large_gap_control,951,0.0010515247108307045,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,overall,4344,0.007596685082872928,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,hard_near_tie,832,0.021634615384615384,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,high_headroom_near_tie,35,0.05714285714285714,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,baseline_error_near_tie,71,0.07042253521126761,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,0.75,large_gap_control,951,0.0010515247108307045,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,overall,4344,0.010128913443830571,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,hard_near_tie,832,0.026442307692307692,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,high_headroom_near_tie,35,0.05714285714285714,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,baseline_error_near_tie,71,0.07042253521126761,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.0,large_gap_control,951,0.0010515247108307045,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,overall,4344,0.015193370165745856,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,hard_near_tie,832,0.037259615384615384,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,high_headroom_near_tie,35,0.11428571428571428,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,baseline_error_near_tie,71,0.1267605633802817,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,1.5,large_gap_control,951,0.0010515247108307045,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,overall,4344,0.020027624309392266,0.0,1.0,0.0,0.9677716390423573,0.9677716390423573,0.9525782688766115,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,hard_near_tie,832,0.05048076923076923,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,high_headroom_near_tie,35,0.11428571428571428,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,baseline_error_near_tie,71,0.16901408450704225,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed315_metadata,2.0,large_gap_control,951,0.0010515247108307045,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,overall,4339,0.00115233924867481,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,hard_near_tie,657,0.0060882800608828,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.1,large_gap_control,970,0.0,0.0,0.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,overall,4339,0.002535146347084582,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,hard_near_tie,657,0.0106544901065449,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.25,large_gap_control,970,0.0,0.0,0.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,overall,4339,0.005070292694169164,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,hard_near_tie,657,0.0136986301369863,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,large_gap_control,970,0.002061855670103093,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,overall,4339,0.0076054390412537455,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,hard_near_tie,657,0.015220700152207,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,large_gap_control,970,0.004123711340206186,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,overall,4339,0.010140585388338327,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,hard_near_tie,657,0.015220700152207,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,large_gap_control,970,0.004123711340206186,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,overall,4339,0.015210878082507491,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,hard_near_tie,657,0.0197869101978691,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,large_gap_control,970,0.004123711340206186,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,2.0,overall,4339,0.02005070292694169,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,2.0,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,2.0,hard_near_tie,657,0.0258751902587519,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,2.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,2.0,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,2.0,large_gap_control,970,0.008247422680412371,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,round11_feature_cache_seed315_metadata,0.1,overall,4344,0.0011510128913443832,0.0,1.0,0.0,0.9680018416206262,0.9677716390423573,0.9525782688766115,-0.0024998455855508315,-0.00023020257826887662
prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,round11_feature_cache_seed315_metadata,0.1,stable_positive_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,round11_feature_cache_seed315_metadata,0.1,hard_near_tie,832,0.003605769230769231,0.0,1.0,0.0,0.9158653846153846,0.9158653846153846,0.8930288461538461,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,round11_feature_cache_seed315_metadata,0.1,high_headroom_near_tie,35,0.08571428571428572,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,round11_feature_cache_seed315_metadata,0.1,baseline_error_near_tie,71,0.04225352112676056,0.0,1.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,round11_feature_cache_seed315_metadata,0.1,large_gap_control,951,0.0010515247108307045,0.0,1.0,0.0,0.9978969505783386,0.9978969505783386,0.9936908517350158,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,round11_feature_cache_seed315_metadata,0.25,overall,4344,0.0025322283609576428,0.09090909090909091,0.9090909090909091,0.0,0.9682320441988951,0.9677716390423573,0.9525782688766115,-0.0041297294377841565,-0.00046040515653775324
